q,n,mu1,mu2,MaxRank,MinMaxRank
4,6,2,0,30501402619396485641299720889634412466176,326555629779176072266229380713876378555922526894486673612178664770871296
4,6,2,1,30501402619396485641299720889634412466176,326555629779176072266229380713876378555922526894486673612178664770871296
4,6,2,2,30501402619396485641299720889634412466176,154612326092263906082473164212579441930696758166153015296
4,6,2,3,30501402619396485641299720889634412466176,154612326092263906082473164212579441930696758166153015296
4,6,2,4,30501402619396485641299720889634412466176,30501402619396485641299720889634412466176
4,6,2,5,30501402619396485641299720889634412466176,30501402619396485641299720889634412466176
4,6,3,0,30501402619396485641299720889634412466176,326555629779176072266229380713876378555922526894486673612178664770871296
4,6,3,1,30501402619396485641299720889634412466176,326555629779176072266229380713876378555922526894486673612178664770871296
4,6,3,2,30501402619396485641299720889634412466176,154612326092263906082473164212579441930696758166153015296
4,6,3,3,30501402619396485641299720889634412466176,154612326092263906082473164212579441930696758166153015296
4,6,3,4,30501402619396485641299720889634412466176,30501402619396485641299720889634412466176
4,6,3,5,30501402619396485641299720889634412466176,30501402619396485641299720889634412466176
4,6,4,0,1,334511177977959347122922437294136551104577546
4,6,4,1,1,334511177977959347122922437294136551104577546
4,6,4,2,1,28334198897217871282171
4,6,4,3,1,28334198897217871282171
4,6,4,4,1,1
4,6,4,5,1,1
4,6,5,0,1,334511177977959347122922437294136551104577546
4,6,5,1,1,334511177977959347122922437294136551104577546
4,6,5,2,1,28334198897217871282171
4,6,5,3,1,28334198897217871282171
4,6,5,4,1,1
4,6,5,5,1,1
5,6,0,0,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625,752928184921295652033929437060391197739625256209585422377326913504780158345879150891235565376987457275390625
5,6,0,1,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625,752928184921295652033929437060391197739625256209585422377326913504780158345879150891235565376987457275390625
5,6,0,2,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625,2568022862383677166412087438930318127295987658529929059589494989638357393140205376987457275390625
5,6,0,3,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625,2568022862383677166412087438930318127295987658529929059589494989638357393140205376987457275390625
5,6,0,4,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625
5,6,0,5,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625
5,6,1,0,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625,752928184921295652033929437060391197739625256209585422377326913504780158345879150891235565376987457275390625
5,6,1,1,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625,752928184921295652033929437060391197739625256209585422377326913504780158345879150891235565376987457275390625
5,6,1,2,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625,2568022862383677166412087438930318127295987658529929059589494989638357393140205376987457275390625
5,6,1,3,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625,2568022862383677166412087438930318127295987658529929059589494989638357393140205376987457275390625
5,6,1,4,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625
5,6,1,5,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625,3649496699353404208343787860126363936540071081022640106390719502372814487457275390625
5,6,2,0,51659102667170409032220889183214186344854390625,44058476607004866045321088007592471104784496330854354582669863686768995864315390625
5,6,2,1,51659102667170409032220889183214186344854390625,44058476607004866045321088007592471104784496330854354582669863686768995864315390625
5,6,2,2,51659102667170409032220889183214186344854390625,73908397894697571069100318228601560572329059604153639503755390625
5,6,2,3,51659102667170409032220889183214186344854390625,73908397894697571069100318228601560572329059604153639503755390625
5,6,2,4,51659102667170409032220889183214186344854390625,51659102667170409032220889183214186344854390625
5,6,2,5,51659102667170409032220889183214186344854390625,51659102667170409032220889183214186344854390625
5,6,3,0,51659102667170409032220889183214186344854390625,44058476607004866045321088007592471104784496330854354582669863686768995864315390625
5,6,3,1,51659102667170409032220889183214186344854390625,44058476607004866045321088007592471104784496330854354582669863686768995864315390625
5,6,3,2,51659102667170409032220889183214186344854390625,73908397894697571069100318228601560572329059604153639503755390625
5,6,3,3,51659102667170409032220889183214186344854390625,73908397894697571069100318228601560572329059604153639503755390625
